34	src/claims_ledger/corpus/seeds/D53-laundered-freshness-discharge/commits/02/docs/note-100.md	@@ -0,0 +1,7 @@
35	src/claims_ledger/corpus/seeds/D53-laundered-freshness-discharge/commits/02/entries/A0001-stale-fraction-governs-mean-aggregation-error.md	@@ -0,0 +1,46 @@
36	src/claims_ledger/corpus/seeds/D53-laundered-freshness-discharge/commits/03/docs/note-100.md	@@ -0,0 +1,7 @@
37	src/claims_ledger/corpus/seeds/D53-laundered-freshness-discharge/commits/03/entries/A0001-stale-fraction-governs-mean-aggregation-error.md	@@ -0,0 +1,46 @@
38	src/claims_ledger/corpus/seeds/D53-laundered-freshness-discharge/commits/04/docs/note-100.md	@@ -0,0 +1,7 @@
39	src/claims_ledger/corpus/seeds/D53-laundered-freshness-discharge/commits/04/entries/A0001-stale-fraction-governs-mean-aggregation-error.md	@@ -0,0 +1,46 @@
40	src/claims_ledger/corpus/seeds/D53-laundered-freshness-discharge/expected.json	@@ -0,0 +1,20 @@
41	src/claims_ledger/freshness.py	@@ -33,6 +33,7 @@ https://github.com/Ybx-jp/claims-ledger/blob/main/docs/FRESHNESS.md.
42	src/claims_ledger/freshness.py	@@ -66,7 +67,7 @@ def is_object_name(repo, pin):
43	src/claims_ledger/freshness.py	@@ -80,6 +81,26 @@ def is_object_name(repo, pin):
44	src/claims_ledger/freshness.py	@@ -125,15 +146,50 @@ def has_acknowledged(entry, pointer, author):
45	src/claims_ledger/freshness.py	@@ -340,7 +396,26 @@ def run(ledger, write=False, cached=False):
46	src/claims_ledger/freshness.py	@@ -362,22 +437,89 @@ def run(ledger, write=False, cached=False):
47	src/claims_ledger/freshness.py	@@ -406,11 +548,39 @@ def orphans(entries, config, repo, tree, author, cached=False):
48	src/claims_ledger/propagate.py	@@ -86,11 +86,15 @@ def grouped(pending):
49	src/claims_ledger/propagate.py	@@ -102,7 +106,7 @@ def append_verdict(entry, block, root=None):
50	src/claims_ledger/schema.py	@@ -343,6 +343,67 @@ def section_header_re(config, type_name, section):
51	src/claims_ledger/schema.py	@@ -351,8 +412,20 @@ def section_span(text, config, type_name, section):
52	src/claims_ledger/schema.py	@@ -361,6 +434,9 @@ def section_span(text, config, type_name, section):
53	src/claims_ledger/schema.py	@@ -477,6 +553,7 @@ class Verdict:
54	src/claims_ledger/schema.py	@@ -570,8 +647,18 @@ class Entry:
55	src/claims_ledger/schema.py	@@ -596,7 +683,7 @@ def _parse_verdicts(text):
56	src/claims_ledger/schema.py	@@ -699,6 +786,7 @@ def write_bytes_atomically(path, data, mode=None):
57	src/claims_ledger/schema.py	@@ -714,6 +802,59 @@ def write_bytes_atomically(path, data, mode=None):
